127.0.0.1 - - [16/Nov/2016:10:06:02 -0300] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [16/Nov/2016:10:06:06 -0300] "GET /Grupo-5-Front-End/faces/index.xhtml HTTP/1.1" 200 5142
0:0:0:0:0:0:0:1 - - [16/Nov/2016:10:06:06 -0300] "GET /Grupo-5-Front-End/faces/javax.faces.resource/components.css?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2016:10:06:06 -0300] "GET /Grupo-5-Front-End/faces/javax.faces.resource/theme.css?ln=primefaces-afternoon HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2016:10:06:06 -0300] "GET /Grupo-5-Front-End/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2016:10:06:06 -0300] "GET /Grupo-5-Front-End/faces/javax.faces.resource/layout/layout.css?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2016:10:06:06 -0300] "GET /Grupo-5-Front-End/faces/javax.faces.resource/core.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2016:10:06:06 -0300] "GET /Grupo-5-Front-End/faces/javax.faces.resource/components.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2016:10:06:06 -0300] "GET /Grupo-5-Front-End/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2016:10:06:06 -0300] "GET /Grupo-5-Front-End/faces/javax.faces.resource/layout/layout.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2016:10:17:11 -0300] "GET /Grupo-5-Front-End/faces/index.xhtml HTTP/1.1" 200 9845
0:0:0:0:0:0:0:1 - - [16/Nov/2016:10:17:11 -0300] "GET /Grupo-5-Front-End/faces/javax.faces.resource/theme.css?ln=primefaces-afternoon HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2016:10:17:11 -0300] "GET /Grupo-5-Front-End/faces/javax.faces.resource/layout/layout.css?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2016:10:17:11 -0300] "GET /Grupo-5-Front-End/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2016:10:17:11 -0300] "GET /Grupo-5-Front-End/faces/javax.faces.resource/components.css?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2016:10:17:11 -0300] "GET /Grupo-5-Front-End/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2016:10:17:11 -0300] "GET /Grupo-5-Front-End/faces/javax.faces.resource/core.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2016:10:17:11 -0300] "GET /Grupo-5-Front-End/faces/javax.faces.resource/components.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2016:10:17:11 -0300] "GET /Grupo-5-Front-End/faces/javax.faces.resource/layout/layout.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2016:10:18:04 -0300] "GET /Grupo-5-Front-End/faces/index.xhtml HTTP/1.1" 200 9843
0:0:0:0:0:0:0:1 - - [16/Nov/2016:10:18:04 -0300] "GET /Grupo-5-Front-End/faces/javax.faces.resource/theme.css?ln=primefaces-afternoon HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2016:10:18:04 -0300] "GET /Grupo-5-Front-End/faces/javax.faces.resource/components.css?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2016:10:18:04 -0300] "GET /Grupo-5-Front-End/faces/javax.faces.resource/layout/layout.css?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2016:10:18:04 -0300] "GET /Grupo-5-Front-End/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2016:10:18:04 -0300] "GET /Grupo-5-Front-End/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2016:10:18:04 -0300] "GET /Grupo-5-Front-End/faces/javax.faces.resource/core.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2016:10:18:04 -0300] "GET /Grupo-5-Front-End/faces/javax.faces.resource/components.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2016:10:18:04 -0300] "GET /Grupo-5-Front-End/faces/javax.faces.resource/layout/layout.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
